driverId,forename,surname,difference,teammateId,teammateName,age,year,circuit
1,Lewis,Hamilton,-0.22891960639734257,5,kovalainen,23,2008,Australian Grand Prix
9,Robert,Kubica,-0.44207884208849063,2,heidfeld,24,2008,Australian Grand Prix
5,Heikki,Kovalainen,0.38980622367429835,1,hamilton,27,2008,Australian Grand Prix
13,Felipe,Massa,-0.2669730799897353,8,raikkonen,27,2008,Australian Grand Prix
2,Nick,Heidfeld,0.4802118271300712,9,kubica,31,2008,Australian Grand Prix
15,Jarno,Trulli,-1.0740559559928005,10,glock,34,2008,Australian Grand Prix
3,Nico,Rosberg,-0.2595576011628452,6,nakajima,23,2008,Australian Grand Prix
14,David,Coulthard,-0.8491638325614291,17,webber,37,2008,Australian Grand Prix
10,Timo,Glock,1.3957516473771006,15,trulli,26,2008,Australian Grand Prix
20,Sebastian,Vettel,-0.6746338321532555,7,bourdais,21,2008,Australian Grand Prix
22,Rubens,Barrichello,-0.07042883225297734,18,button,36,2008,Australian Grand Prix
4,Fernando,Alonso,-1.3343964727019137,12,piquet_jr,27,2008,Australian Grand Prix
18,Jenson,Button,0.11361601280277167,22,barrichello,28,2008,Australian Grand Prix
6,Kazuki,Nakajima,0.001240776344395983,3,rosberg,23,2008,Australian Grand Prix
17,Mark,Webber,0.7279640487683169,14,coulthard,32,2008,Australian Grand Prix
8,Kimi,Räikkönen,0.14820095448951984,13,massa,29,2008,Australian Grand Prix
21,Giancarlo,Fisichella,-0.6867170963457064,16,sutil,35,2008,Australian Grand Prix
7,Sébastien,Bourdais,0.43360812663795734,20,vettel,29,2008,Australian Grand Prix
16,Adrian,Sutil,0.9579264934998953,21,fisichella,25,2008,Australian Grand Prix
11,Takuma,Sato,-1.1368975792686342,19,davidson,31,2008,Australian Grand Prix
12,Nelson,Piquet Jr.,1.0148721965083913,4,alonso,23,2008,Australian Grand Prix
19,Anthony,Davidson,1.2177203520998103,11,sato,29,2008,Australian Grand Prix
13,Felipe,Massa,-0.6020082680802308,8,raikkonen,27,2008,Malaysian Grand Prix
