driverId,forename,surname,difference,age,year,circuit
1,Lewis,Hamilton,-0.18724999999999445,23,2008,Australian Grand Prix
9,Robert,Kubica,-0.34107291666666956,24,2008,Australian Grand Prix
5,Heikki,Kovalainen,0.3389909909909855,27,2008,Australian Grand Prix
13,Felipe,Massa,-0.2298565573770499,27,2008,Australian Grand Prix
2,Nick,Heidfeld,0.3944485294117679,31,2008,Australian Grand Prix
15,Jarno,Trulli,-0.9526400000000028,34,2008,Australian Grand Prix
3,Nico,Rosberg,-0.21544162436548162,23,2008,Australian Grand Prix
14,David,Coulthard,-0.7251708860759514,37,2008,Australian Grand Prix
10,Timo,Glock,1.2023068181818206,26,2008,Australian Grand Prix
20,Sebastian,Vettel,-0.5892613636363636,21,2008,Australian Grand Prix
22,Rubens,Barrichello,-0.055356807511735204,36,2008,Australian Grand Prix
4,Fernando,Alonso,-1.1552382550335585,27,2008,Australian Grand Prix
18,Jenson,Button,0.099924302788843,28,2008,Australian Grand Prix
6,Kazuki,Nakajima,-0.06161111111111084,23,2008,Australian Grand Prix
17,Mark,Webber,0.6363692307692317,32,2008,Australian Grand Prix
8,Kimi,Räikkönen,0.12329096989966637,29,2008,Australian Grand Prix
21,Giancarlo,Fisichella,-0.5824893617021298,35,2008,Australian Grand Prix
7,Sébastien,Bourdais,0.3768461538461534,29,2008,Australian Grand Prix
16,Adrian,Sutil,0.8623223140495881,25,2008,Australian Grand Prix
11,Takuma,Sato,-1.0012153846153835,31,2008,Australian Grand Prix
12,Nelson,Piquet Jr.,0.879222222222224,23,2008,Australian Grand Prix
19,Anthony,Davidson,1.0534090909090894,29,2008,Australian Grand Prix
13,Felipe,Massa,-0.5658565573770484,27,2008,Malaysian Grand Prix
8,Kimi,Räikkönen,0.4592909698996649,29,2008,Malaysian Grand Prix
5,Heikki,Kovalainen,-0.12200900900901304,27,2008,Malaysian Grand Prix
1,Lewis,Hamilton,0.27375000000000405,23,2008,Malaysian Grand Prix
9,Robert,Kubica,-7.291666666138855e-05,24,2008,Malaysian Grand Prix
2,Nick,Heidfeld,0.05344852941175973,31,2008,Malaysian Grand Prix
17,Mark,Webber,-0.33763076923077207,32,2008,Malaysian Grand Prix
4,Fernando,Alonso,-0.15423825503355376,27,2008,Malaysian Grand Prix
18,Jenson,Button,-0.400075697211157,28,2008,Malaysian Grand Prix
14,David,Coulthard,0.24882911392405233,37,2008,Malaysian Grand Prix
12,Nelson,Piquet Jr.,-0.12177777777778076,23,2008,Malaysian Grand Prix
22,Rubens,Barrichello,0.4446431924882648,36,2008,Malaysian Grand Prix
20,Sebastian,Vettel,-0.41126136363636634,21,2008,Malaysian Grand Prix
3,Nico,Rosberg,-0.40644162436548414,23,2008,Malaysian Grand Prix
21,Giancarlo,Fisichella,-0.791489361702133,35,2008,Malaysian Grand Prix
6,Kazuki,Nakajima,0.12938888888889166,23,2008,Malaysian Grand Prix
